      Z logage     M_ini           M_act      logL logTe   logG    mbol    U       B       V       R       I       J       H       K       int_IMF stage
	0.015200	10.0000	0.92567617	0.9251	0.0333	3.7562	4.3479	4.687	5.737	5.474	4.773	4.351	4.016	3.584	3.240	3.195	3.11874890	1
	0.015200	10.0000	0.93985391	0.9392	0.0854	3.7590	4.3135	4.556	5.567	5.325	4.636	4.221	3.890	3.466	3.128	3.084	3.12323213	1
	0.015200	10.0000	0.94999999	0.9493	0.1249	3.7608	4.2855	4.458	5.445	5.215	4.533	4.122	3.794	3.375	3.041	2.998	3.12635612	1
	0.015200	10.0000	0.95357740	0.9529	0.1393	3.7613	4.2750	4.422	5.401	5.175	4.496	4.087	3.760	3.341	3.009	2.966	3.12744141	1
	0.015200	10.0000	0.95854914	0.9578	0.1599	3.7620	4.2594	4.370	5.340	5.119	4.443	4.035	3.710	3.293	2.962	2.920	3.12893605	1
	0.015200	10.0000	0.96351063	0.9628	0.1811	3.7625	4.2423	4.317	5.280	5.062	4.389	3.983	3.658	3.243	2.913	2.871	3.13041162	1
	0.015200	10.0000	0.97214854	0.9713	0.2190	3.7629	4.2101	4.223	5.178	4.964	4.293	3.889	3.564	3.150	2.822	2.780	3.13294411	1
	0.015200	10.0000	0.98139423	0.9805	0.2610	3.7625	4.1702	4.117	5.075	4.860	4.188	3.784	3.459	3.043	2.714	2.672	3.13560390	1
	0.015200	10.0000	0.98974335	0.9888	0.3002	3.7610	4.1291	4.019	4.989	4.769	4.093	3.686	3.360	2.940	2.607	2.564	3.13796210	2
	0.015200	10.0000	0.99915892	0.9981	0.3456	3.7569	4.0711	3.906	4.923	4.680	3.989	3.574	3.241	2.809	2.466	2.422	3.14057326	2
	0.015200	10.0000	1.00000000	0.9989	0.3493	3.7560	4.0643	3.897	4.924	4.676	3.982	3.565	3.231	2.796	2.451	2.407	3.14080405	2
	0.015200	10.0000	1.00684154	1.0057	0.3790	3.7483	4.0066	3.822	4.944	4.650	3.926	3.493	3.146	2.689	2.325	2.279	3.14266586	2
	0.015200	10.0000	1.01093042	1.0098	0.3888	3.7388	3.9605	3.798	5.044	4.685	3.927	3.473	3.113	2.628	2.240	2.191	3.14376569	2
	0.015200	10.0000	1.01346409	1.0123	0.3884	3.7290	3.9230	3.799	5.189	4.755	3.959	3.482	3.105	2.589	2.176	2.124	3.14444232	2
	0.015200	10.0000	1.01559532	1.0144	0.3883	3.7183	3.8813	3.799	5.360	4.837	3.999	3.494	3.099	2.549	2.106	2.050	3.14500880	2
	0.015200	10.0000	1.01763713	1.0164	0.4023	3.7078	3.8259	3.764	5.503	4.886	4.009	3.474	3.061	2.475	2.002	1.943	3.14554906	2
	0.015200	10.0000	1.01942289	1.0182	0.4361	3.7004	3.7634	3.680	5.546	4.865	3.958	3.402	2.975	2.365	1.871	1.808	3.14601946	2
