     WAVE 	               FLUX	
     3100.700000	      120700.000000	
     3101.000000	      136500.000000	
     3101.300000	      165600.000000	
     3101.600000	      209800.000000	
     3101.900000	      269100.000000	
     3102.200000	      341600.000000	
     3102.500000	      423100.000000	
     3102.800000	      507000.000000	
     3103.100000	      585800.000000	
     3103.400000	      652400.000000	
     3103.700000	      700900.000000	
     3104.000000	      727300.000000	
     3104.300000	      731300.000000	
     3104.600000	      716200.000000	
     3104.900000	      688800.000000	
     3105.200000	      658800.000000	
     3105.500000	      636900.000000	
     3105.800000	      631700.000000	
     3106.100000	      647900.000000	
     3106.400000	      685000.000000	
     3106.700000	      738600.000000	
     3107.000000	      801800.000000	
     3107.300000	      867000.000000	
     3107.600000	      927500.000000	
     3107.900000	      977200.000000	
     3108.200000	     1011000.000000	
     3108.500000	     1027000.000000	
     3108.800000	     1025000.000000	
     3109.100000	     1008000.000000	
     3109.400000	      985100.000000	
     3109.700000	      965600.000000	
     3110.000000	      959500.000000	
     3110.300000	      973600.000000	
     3110.600000	     1008000.000000	
     3110.900000	     1057000.000000	
     3111.200000	     1109000.000000	
     3111.500000	     1152000.000000	
     3111.800000	     1175000.000000	
     3112.100000	     1170000.000000	
     3112.400000	     1137000.000000	
     3112.700000	     1079000.000000	
     3113.000000	     1007000.000000	
     3113.300000	      933300.000000	
     3113.600000	      873900.000000	
     3113.900000	      841700.000000	
     3114.200000	      842600.000000	
     3114.500000	      874300.000000	
     3114.800000	      925400.000000	
     3115.100000	      978400.000000	
     3115.400000	     1015000.000000	
     3115.700000	     1020000.000000	
     3116.000000	      990200.000000	
     3116.300000	      928700.000000	
     3116.600000	      848800.000000	
     3116.900000	      765600.000000	
     3117.200000	      692600.000000	
     3117.500000	      638100.000000	
     3117.800000	      604300.000000	
     3118.100000	      588600.000000	
     3118.400000	      586000.000000	
     3118.700000	      591300.000000	
     3119.000000	      601800.000000	
     3119.300000	      617600.000000	
     3119.600000	      639900.000000	
     3119.900000	      668700.000000	
     3120.200000	      700800.000000	
     3120.500000	      728700.000000	
     3120.800000	      743500.000000	
     3121.100000	      737600.000000	
     3121.400000	      709000.000000	
     3121.700000	      663200.000000	
     3122.000000	      611300.000000	
     3122.300000	      566500.000000	
     3122.600000	      539900.000000	
     3122.900000	      536400.000000	
     3123.200000	      554800.000000	
     3123.500000	      587300.000000	
     3123.800000	      622600.000000	
     3124.100000	      649300.000000	
     3124.400000	      659600.000000	
     3124.700000	      651900.000000	
     3125.000000	      632000.000000	
     3125.300000	      608900.000000	
     3125.600000	      592500.000000	
     3125.900000	      588800.000000	
     3126.200000	      599100.000000	
     3126.500000	      618200.000000	
     3126.800000	      638200.000000	
     3127.100000	      651300.000000	
     3127.400000	      652900.000000	
     3127.700000	      643700.000000	
     3128.000000	      628500.000000	
     3128.300000	      615200.000000	
     3128.600000	      610100.000000	
     3128.900000	      616100.000000	
     3129.200000	      632000.000000	
     3129.500000	      653600.000000	
     3129.800000	      675400.000000	
     3130.100000	      694000.000000	
     3130.400000	      707200.000000	
     3130.700000	      714000.000000	
     3131.000000	      713500.000000	
     3131.300000	      704400.000000	
     3131.600000	      685500.000000	
     3131.900000	      656600.000000	
     3132.200000	      619700.000000	
     3132.500000	      578700.000000	
     3132.800000	      538800.000000	
     3133.100000	      506600.000000	
     3133.400000	      488800.000000	
     3133.700000	      492500.000000	
     3134.000000	      521900.000000	
     3134.300000	      575800.000000	
     3134.600000	      648200.000000	
     3134.900000	      727600.000000	
     3135.200000	      801400.000000	
     3135.500000	      858800.000000	
     3135.800000	      895900.000000	
     3136.100000	      914600.000000	
     3136.400000	      920300.000000	
     3136.700000	      918900.000000	
     3137.000000	      912600.000000	
     3137.300000	      901200.000000	
     3137.600000	      883600.000000	
     3137.900000	      860300.000000	
     3138.200000	      835000.000000	
     3138.500000	      812500.000000	
     3138.800000	      798100.000000	
     3139.100000	      794900.000000	
     3139.400000	      803700.000000	
     3139.700000	      823200.000000	
     3140.000000	      850900.000000	
     3140.300000	      882400.000000	
     3140.600000	      911400.000000	
     3140.900000	      930600.000000	
     3141.200000	      933200.000000	
     3141.500000	      914000.000000	
     3141.800000	      870900.000000	
     3142.100000	      805900.000000	
     3142.400000	      725000.000000	
     3142.700000	      636100.000000	
     3143.000000	      548100.000000	
     3143.300000	      469300.000000	
     3143.600000	      406600.000000	
     3143.900000	      364300.000000	
     3144.200000	      345500.000000	
     3144.500000	      349400.000000	
     3144.800000	      373100.000000	
     3145.100000	      412000.000000	
     3145.400000	      458400.000000	
     3145.700000	      504200.000000	
     3146.000000	      542400.000000	
     3146.300000	      569900.000000	
     3146.600000	      588900.000000	
     3146.900000	      606300.000000	
     3147.200000	      631300.000000	
     3147.500000	      671200.000000	
     3147.800000	      728400.000000	
     3148.100000	      798600.000000	
     3148.400000	      871200.000000	
     3148.700000	      933800.000000	
     3149.000000	      977400.000000	
     3149.300000	      998700.000000	
     3149.600000	     1001000.000000	
     3149.900000	      992600.000000	
     3150.200000	      980600.000000	
     3150.500000	      968500.000000	
     3150.800000	      955500.000000	
     3151.100000	      938700.000000	
     3151.400000	      916900.000000	
     3151.700000	      891700.000000	
     3152.000000	      869200.000000	
     3152.300000	      855500.000000	
     3152.600000	      855800.000000	
     3152.900000	      869800.000000	
     3153.200000	      892800.000000	
     3153.500000	      916500.000000	
     3153.800000	      933500.000000	
     3154.100000	      939400.000000	
     3154.400000	      933400.000000	
     3154.700000	      916900.000000	
     3155.000000	      890600.000000	
     3155.300000	      854100.000000	
     3155.600000	      806900.000000	
     3155.900000	      748300.000000	
     3156.200000	      680300.000000	
     3156.500000	      607500.000000	
     3156.800000	      536400.000000	
     3157.100000	      473400.000000	
     3157.400000	      422900.000000	
     3157.700000	      387600.000000	
     3158.000000	      367000.000000	
     3158.300000	      358600.000000	
     3158.600000	      358500.000000	
     3158.900000	      362800.000000	
     3159.200000	      367400.000000	
     3159.500000	      369500.000000	
     3159.800000	      366800.000000	
     3160.100000	      360700.000000	
     3160.400000	      353600.000000	
     3160.700000	      350300.000000	
     3161.000000	      355900.000000	
     3161.300000	      374900.000000	
     3161.600000	      409400.000000	
     3161.900000	      458700.000000	
     3162.200000	      518500.000000	
     3162.500000	      581700.000000	
     3162.800000	      639100.000000	
     3163.100000	      682200.000000	
     3163.400000	      705500.000000	
     3163.700000	      707000.000000	
     3164.000000	      690900.000000	
     3164.300000	      664600.000000	
     3164.600000	      637500.000000	
     3164.900000	      617800.000000	
     3165.200000	      611100.000000	
     3165.500000	      619400.000000	
     3165.800000	      641400.000000	
     3166.100000	      672900.000000	
     3166.400000	      707800.000000	
     3166.700000	      738600.000000	
     3167.000000	      758100.000000	
     3167.300000	      760800.000000	
     3167.600000	      745900.000000	
     3167.900000	      717000.000000	
     3168.200000	      683700.000000	
     3168.500000	      657800.000000	
     3168.800000	      650600.000000	
     3169.100000	      669100.000000	
     3169.400000	      713300.000000	
     3169.700000	      775900.000000	
     3170.000000	      845200.000000	
     3170.300000	      909600.000000	
     3170.600000	      961400.000000	
     3170.900000	      998900.000000	
     3171.200000	     1026000.000000	
     3171.500000	     1047000.000000	
     3171.800000	     1066000.000000	
     3172.100000	     1082000.000000	
     3172.400000	     1091000.000000	
     3172.700000	     1088000.000000	
     3173.000000	     1069000.000000	
     3173.300000	     1036000.000000	
     3173.600000	      993500.000000	
     3173.900000	      949300.000000	
     3174.200000	      913000.000000	
     3174.500000	      893600.000000	
     3174.800000	      900100.000000	
     3175.100000	      937100.000000	
     3175.400000	     1003000.000000	
     3175.700000	     1086000.000000	
     3176.000000	     1169000.000000	
     3176.300000	     1229000.000000	
     3176.600000	     1249000.000000	
     3176.900000	     1219000.000000	
     3177.200000	     1143000.000000	
     3177.500000	     1033000.000000	
     3177.800000	      909200.000000	
     3178.100000	      788200.000000	
     3178.400000	      681400.000000	
     3178.700000	      593800.000000	
     3179.000000	      525000.000000	
     3179.300000	      472800.000000	
     3179.600000	      434200.000000	
     3179.900000	      407500.000000	
     3180.200000	      391900.000000	
     3180.500000	      385500.000000	
     3180.800000	      388000.000000	
     3181.100000	      398200.000000	
     3181.400000	      414800.000000	
     3181.700000	      436000.000000	
     3182.000000	      459100.000000	
     3182.300000	      480400.000000	
     3182.600000	      496000.000000	
     3182.900000	      503200.000000	
     3183.200000	      500900.000000	
     3183.500000	      490500.000000	
     3183.800000	      475600.000000	
     3184.100000	      461100.000000	
     3184.400000	      452300.000000	
     3184.700000	      452600.000000	
     3185.000000	      464200.000000	
     3185.300000	      487000.000000	
     3185.600000	      519500.000000	
     3185.900000	      559400.000000	
     3186.200000	      605600.000000	
     3186.500000	      656800.000000	
     3186.800000	      712700.000000	
     3187.100000	      772600.000000	
     3187.400000	      836100.000000	
     3187.700000	      902800.000000	
     3188.000000	      970600.000000	
     3188.300000	     1035000.000000	
     3188.600000	     1088000.000000	
     3188.900000	     1118000.000000	
     3189.200000	     1115000.000000	
     3189.500000	     1070000.000000	
     3189.800000	      984800.000000	
     3190.100000	      867100.000000	
     3190.400000	      732300.000000	
     3190.700000	      597900.000000	
     3191.000000	      478700.000000	
     3191.300000	      384600.000000	
     3191.600000	      318500.000000	
     3191.900000	      279300.000000	
     3192.200000	      261800.000000	
     3192.500000	      261000.000000	
     3192.800000	      272700.000000	
     3193.100000	      294100.000000	
     3193.400000	      322900.000000	
     3193.700000	      358300.000000	
     3194.000000	      398500.000000	
     3194.300000	      441500.000000	
     3194.600000	      484200.000000	
     3194.900000	      523000.000000	
     3195.200000	      554500.000000	
     3195.500000	      576800.000000	
     3195.800000	      591200.000000	
     3196.100000	      602500.000000	
     3196.400000	      618400.000000	
     3196.700000	      646800.000000	
     3197.000000	      692500.000000	
     3197.300000	      754100.000000	
     3197.600000	      822800.000000	
     3197.900000	      884000.000000	
     3198.200000	      921100.000000	
     3198.500000	      922200.000000	
     3198.800000	      884400.000000	
     3199.100000	      814700.000000	
     3199.400000	      728900.000000	
     3199.700000	      644900.000000	
     3200.000000	      577800.000000	
     3200.300000	      536400.000000	
     3200.600000	      521600.000000	
     3200.900000	      528600.000000	
     3201.200000	      550200.000000	
     3201.500000	      579700.000000	
     3201.800000	      614200.000000	
     3202.100000	      653900.000000	
     3202.400000	      700400.000000	
     3202.700000	      755600.000000	
     3203.000000	      818200.000000	
     3203.300000	      884400.000000	
     3203.600000	      947500.000000	
     3203.900000	      999100.000000	
     3204.200000	     1031000.000000	
     3204.500000	     1036000.000000	
     3204.800000	     1013000.000000	
     3205.100000	      964800.000000	
     3205.400000	      901300.000000	
     3205.700000	      832400.000000	
     3206.000000	      768700.000000	
     3206.300000	      717800.000000	
     3206.600000	      682800.000000	
     3206.900000	      663600.000000	
     3207.200000	      656900.000000	
     3207.500000	      656500.000000	
     3207.800000	      655700.000000	
     3208.100000	      648800.000000	
     3208.400000	      632400.000000	
     3208.700000	      606700.000000	
     3209.000000	      573600.000000	
     3209.300000	      536200.000000	
     3209.600000	      497900.000000	
     3209.900000	      461500.000000	
     3210.200000	      429200.000000	
     3210.500000	      402400.000000	
     3210.800000	      382600.000000	
     3211.100000	      370300.000000	
     3211.400000	      364900.000000	
     3211.700000	      365000.000000	
     3212.000000	      367900.000000	
     3212.300000	      370400.000000	
     3212.600000	      369900.000000	
     3212.900000	      366500.000000	
     3213.200000	      362600.000000	
     3213.500000	      362800.000000	
     3213.800000	      373200.000000	
     3214.100000	      397800.000000	
     3214.400000	      437000.000000	
     3214.700000	      486900.000000	
     3215.000000	      540100.000000	
     3215.300000	      588000.000000	
     3215.600000	      623300.000000	
     3215.900000	      643300.000000	
     3216.200000	      650400.000000	
     3216.500000	      651500.000000	
     3216.800000	      654700.000000	
     3217.100000	      666300.000000	
     3217.400000	      688500.000000	
     3217.700000	      718000.000000	
     3218.000000	      747700.000000	
     3218.300000	      768900.000000	
     3218.600000	      775500.000000	
     3218.900000	      766000.000000	
     3219.200000	      744000.000000	
     3219.500000	      716600.000000	
     3219.800000	      690400.000000	
     3220.100000	      667500.000000	
     3220.400000	      647000.000000	
     3220.700000	      624600.000000	
     3221.000000	      597600.000000	
     3221.300000	      567000.000000	
     3221.600000	      538300.000000	
     3221.900000	      519800.000000	
     3222.200000	      518500.000000	
     3222.500000	      537800.000000	
     3222.800000	      575400.000000	
     3223.100000	      623400.000000	
     3223.400000	      670000.000000	
     3223.700000	      702900.000000	
     3224.000000	      712800.000000	
     3224.300000	      695400.000000	
     3224.600000	      653300.000000	
     3224.900000	      595800.000000	
     3225.200000	      534600.000000	
     3225.500000	      481000.000000	
     3225.800000	      442700.000000	
     3226.100000	      422200.000000	
     3226.400000	      416800.000000	
     3226.700000	      420700.000000	
     3227.000000	      427300.000000	
     3227.300000	      431600.000000	
     3227.600000	      431000.000000	
     3227.900000	      426000.000000	
     3228.200000	      419000.000000	
     3228.500000	      413500.000000	
     3228.800000	      412000.000000	
     3229.100000	      417000.000000	
     3229.400000	      430300.000000	
     3229.700000	      452900.000000	
     3230.000000	      485200.000000	
     3230.300000	      526600.000000	
     3230.600000	      575600.000000	
     3230.900000	      628400.000000	
     3231.200000	      678600.000000	
     3231.500000	      718000.000000	
     3231.800000	      737400.000000	
     3232.100000	      730400.000000	
     3232.400000	      695500.000000	
     3232.700000	      637800.000000	
     3233.000000	      567100.000000	
     3233.300000	      495400.000000	
     3233.600000	      433200.000000	
     3233.900000	      387200.000000	
     3234.200000	      359300.000000	
     3234.500000	      348300.000000	
     3234.800000	      350200.000000	
     3235.100000	      361000.000000	
     3235.400000	      378400.000000	
     3235.700000	      401800.000000	
     3236.000000	      433600.000000	
     3236.300000	      475800.000000	
     3236.600000	      528500.000000	
     3236.900000	      588100.000000	
     3237.200000	      647100.000000	
     3237.500000	      696200.000000	
     3237.800000	      727200.000000	
     3238.100000	      736300.000000	
     3238.400000	      726300.000000	
     3238.700000	      705500.000000	
     3239.000000	      685500.000000	
     3239.300000	      675800.000000	
     3239.600000	      682200.000000	
     3239.900000	      704900.000000	
     3240.200000	      738900.000000	
     3240.500000	      776200.000000	
     3240.800000	      808100.000000	
     3241.100000	      828700.000000	
     3241.400000	      834800.000000	
     3241.700000	      826500.000000	
     3242.000000	      806400.000000	
     3242.300000	      779600.000000	
     3242.600000	      752300.000000	
     3242.900000	      732400.000000	
     3243.200000	      728400.000000	
     3243.500000	      746800.000000	
     3243.800000	      791100.000000	
     3244.100000	      858200.000000	
     3244.400000	      938500.000000	
     3244.700000	     1017000.000000	
     3245.000000	     1080000.000000	
     3245.300000	     1114000.000000	
     3245.600000	     1114000.000000	
     3245.900000	     1079000.000000	
     3246.200000	     1015000.000000	
     3246.500000	      932300.000000	
     3246.800000	      841600.000000	
     3247.100000	      755200.000000	
     3247.400000	      685400.000000	
     3247.700000	      642000.000000	
     3248.000000	      630700.000000	
     3248.300000	      651400.000000	
     3248.600000	      699500.000000	
     3248.900000	      766700.000000	
     3249.200000	      841900.000000	
     3249.500000	      914700.000000	
     3249.800000	      978800.000000	
     3250.100000	     1031000.000000	
     3250.400000	     1072000.000000	
     3250.700000	     1105000.000000	
     3251.000000	     1131000.000000	
     3251.300000	     1150000.000000	
     3251.600000	     1160000.000000	
     3251.900000	     1155000.000000	
     3252.200000	     1134000.000000	
     3252.500000	     1095000.000000	
     3252.800000	     1045000.000000	
     3253.100000	      991800.000000	
     3253.400000	      945700.000000	
     3253.700000	      917800.000000	
     3254.000000	      917200.000000	
     3254.300000	      948000.000000	
     3254.600000	     1008000.000000	
     3254.900000	     1089000.000000	
     3255.200000	     1181000.000000	
     3255.500000	     1275000.000000	
     3255.800000	     1362000.000000	
     3256.100000	     1436000.000000	
     3256.400000	     1494000.000000	
     3256.700000	     1538000.000000	
     3257.000000	     1570000.000000	
     3257.300000	     1598000.000000	
     3257.600000	     1629000.000000	
     3257.900000	     1666000.000000	
     3258.200000	     1709000.000000	
     3258.500000	     1754000.000000	
     3258.800000	     1791000.000000	
     3259.100000	     1814000.000000	
     3259.400000	     1818000.000000	
     3259.700000	     1801000.000000	
     3260.000000	     1768000.000000	
     3260.300000	     1726000.000000	
     3260.600000	     1685000.000000	
     3260.900000	     1651000.000000	
     3261.200000	     1631000.000000	
     3261.500000	     1625000.000000	
     3261.800000	     1629000.000000	
     3262.100000	     1633000.000000	
     3262.400000	     1627000.000000	
     3262.700000	     1600000.000000	
     3263.000000	     1548000.000000	
     3263.300000	     1474000.000000	
     3263.600000	     1386000.000000	
     3263.900000	     1296000.000000	
     3264.200000	     1213000.000000	
     3264.500000	     1148000.000000	
     3264.800000	     1109000.000000	
     3265.100000	     1101000.000000	
     3265.400000	     1124000.000000	
     3265.700000	     1174000.000000	
     3266.000000	     1244000.000000	
     3266.300000	     1321000.000000	
     3266.600000	     1396000.000000	
     3266.900000	     1459000.000000	
     3267.200000	     1505000.000000	
     3267.500000	     1532000.000000	
     3267.800000	     1541000.000000	
     3268.100000	     1537000.000000	
     3268.400000	     1524000.000000	
     3268.700000	     1504000.000000	
     3269.000000	     1482000.000000	
     3269.300000	     1455000.000000	
     3269.600000	     1420000.000000	
     3269.900000	     1374000.000000	
     3270.200000	     1316000.000000	
     3270.500000	     1252000.000000	
     3270.800000	     1194000.000000	
     3271.100000	     1159000.000000	
     3271.400000	     1160000.000000	
     3271.700000	     1200000.000000	
     3272.000000	     1269000.000000	
     3272.300000	     1344000.000000	
     3272.600000	     1403000.000000	
     3272.900000	     1429000.000000	
     3273.200000	     1417000.000000	
     3273.500000	     1381000.000000	
     3273.800000	     1341000.000000	
     3274.100000	     1316000.000000	
     3274.400000	     1314000.000000	
     3274.700000	     1333000.000000	
     3275.000000	     1361000.000000	
     3275.300000	     1383000.000000	
     3275.600000	     1388000.000000	
     3275.900000	     1374000.000000	
     3276.200000	     1346000.000000	
